,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
17192,MYS,Malaysia,Batang Al,WRI1000280,103.0,1.1472,111.8743,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1028018,,,,,,,,,,321.64,311.96,321.87,382.42,314.31,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17193,MYS,Malaysia,Bersia,WRI1000233,48.0,5.4297,101.2092,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031175,,,,,,,,,,149.01,148.31,149.25,154.65,149.92,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17194,MYS,Malaysia,Bukit Palong Solar Power Plant,WRI1026640,3.0,2.5823,101.8313,Solar,,,,,Gaya Dunia Sdn Bhd,Cypark Resources Board,http://innogenetic.com/cypark/index.php/2014-07-02-17-02-16/2014-07-02-17-02-52/renewable-energy,WRI,,,,,,,,,,,5.54,5.21,5.55,5.25,5.47,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17195,MYS,Malaysia,Connought Bridge,WRI1000246,828.0,3.0433,101.4696,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,4137.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17196,MYS,Malaysia,GB3,WRI1000244,640.0,4.3923,100.5897,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,3198.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17197,MYS,Malaysia,Gebeng Solar Power Plant,WRI1026641,10.0,3.9924,103.3682,Solar,,,,,Petronas,Metta Energy,http://www.mettaenergy.com.my/projects/view/10mw-petronas-solar-plant-gebeng,WRI,1106006,,,,,,,,,,17.17,17.28,18.16,17.32,18.06,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17198,MYS,Malaysia,Gelugor,WRI1000231,330.0,5.3803,100.3147,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1047801,,,,,,,,,,,,,,1649.01,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17199,MYS,Malaysia,Gemas Solar Power Plant,WRI1026642,10.2,2.5956,102.6216,Solar,,,,,Yingli Solar,Yingli Solar,http://d9no22y7yqre8.cloudfront.net/assets/uploads/projects/downloads/AseanCaseStudy_Malaysia_Solarfarm_10MW%20Amcorp%20Gemas_v4.pdf,WRI,1097699,,,,,,,,,,17.46,17.55,17.79,17.65,18.39,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17200,MYS,Malaysia,Genting Sanyen,WRI1000248,762.0,2.7977,101.6493,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,3807.72,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17201,MYS,Malaysia,Hijau Solar Power Plant,WRI1026643,8.0,2.3409,102.2168,Solar,,,,,Gading Kencana Sdn Bhd,Gading Kencana,http://gadingkencana.com.my/utility-scale-solar-farm/,WRI,1103292,,,,,,,,,,13.95,13.77,13.99,13.8,14.7,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17202,MYS,Malaysia,Hulu Terengganu,WRI1000283,250.0,5.1545,102.6054,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,561.94,561.94,561.94,647.54,508.21,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17203,MYS,Malaysia,Jasin,WKS0070609,50.0,2.34,102.35,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,80.87,82.47,83.96,82.68,86.41,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17204,MYS,Malaysia,Jimah power station,WRI1000256,1400.0,2.5903,101.7246,Coal,,,,2009.0,Jimah Energy Ventures Sdn Bhd,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GCPT,1010546,,,,,,,,,,,,,,9985.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17205,MYS,Malaysia,Kapar Energy Ventures (KEV),WRI1000245,2420.0,3.1167,101.3217,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,,,,,,,,,,,,,,,12092.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17206,MYS,Malaysia,Kenering,WRI1000232,120.0,5.2153,101.098,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031179,,,,,,,,,,339.09,481.59,362.97,407.2,417.72,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17207,MYS,Malaysia,Kenyir,WRI1000239,400.0,5.0229,102.9109,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1046865,,,,,,,,,,966.16,958.63,948.99,1232.27,919.77,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17208,MYS,Malaysia,Kuala Langat,WKS0069823,50.0,2.745,101.56,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,83.42,82.51,83.57,82.61,86.75,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17209,MYS,Malaysia,Kuala Lumpur Airport Solar Power Plant,WRI1026644,19.0,2.7791,101.7144,Solar,,,,,Kuala Lumpur International Airport (KLIA),Malaysia Airports,http://www.malaysiaairports.com.my/?m=media_centre&c=news&id=364,WRI,1101460,,,,,,,,,,32.69,32.5,34.35,33.03,34.1,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17210,MYS,Malaysia,Kuala Perlis Solar Power Plant,WRI1026645,6.0,6.4105,100.1378,Solar,,,,,Ambang Fiesta Sdn Bhd,Cypark Resources Board,http://innogenetic.com/cypark/index.php/2014-07-02-17-02-16/2014-07-02-17-02-52/renewable-energy,WRI,,,,,,,,,,,10.53,11.58,11.67,11.51,10.42,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17211,MYS,Malaysia,Kuala Sawah Solar Power Plant,WRI1026646,5.3,2.6355,101.9404,Solar,,,,,Cypark Renewable Energy Sdn Bhd,Cypark Resources Board,http://innogenetic.com/cypark/index.php/2014-07-02-17-02-16/2014-07-02-17-02-52/renewable-energy,WRI,,,,,,,,,,,9.41,9.15,9.02,9.23,9.74,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17212,MYS,Malaysia,Kudat,WKS0069738,50.0,6.915,116.789,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,80.72,87.51,104.38,94.5,82.44,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17213,MYS,Malaysia,MIRI,WRI1000276,79.0,4.4148,114.0089,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,CARMA,1028047,,,,,,,,,,,,,,394.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17214,MYS,Malaysia,Manjung power station,WRI1000255,4180.0,4.1586,100.6423,Coal,,,,2009.0,TNB Janamanjung Sdn Bhd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,1031404,,,,,,,,,,,,,,29813.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17215,MYS,Malaysia,Melawa (SESB),WRI1000260,44.0,6.0887,116.1574,Oil,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1010320,,,,,,,,,,,,,,20.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17216,MYS,Malaysia,Merchang,WKS0070611,50.0,4.934,103.336,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,83.08,83.87,94.13,83.98,85.48,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17217,MYS,Malaysia,Mukah Coal power station,WRI1000277,270.0,2.9685,112.3239,Coal,,,,2009.0,Sarawak Energy Bhd Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1065636,,,,,,,,,,,,,,1925.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17218,MYS,Malaysia,Pahlawan Power,WRI1000253,322.0,2.2238,102.1519,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,1609.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17219,MYS,Malaysia,Pajam Solar Power Plant,WRI1026647,13.0,2.8357,101.8488,Solar,,,,,Cypark Suria (Pajam) Sdn Bhd,Cypark Resources Board,http://innogenetic.com/cypark/index.php/2014-07-02-17-02-16/2014-07-02-17-02-52/renewable-energy,WRI,1090563,,,,,,,,,,22.78,22.65,23.78,23.09,23.75,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17220,MYS,Malaysia,Paka,WRI1000258,1136.0,4.6017,103.4495,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031198,,,,,,,,,,,,,,5676.6,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17221,MYS,Malaysia,Pergau,WRI1000238,600.0,5.625,101.7031,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031191,,,,,,,,,,1402.86,1402.86,1402.86,1541.07,1206.72,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17222,MYS,Malaysia,Prai Power,WRI1000230,350.0,5.3752,100.374,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,1748.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17223,MYS,Malaysia,Putrajaya,WRI1000247,625.0,2.9659,101.6847,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,3123.13,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17224,MYS,Malaysia,Ranhill Powertron (IPP),WRI1000262,190.0,6.0918,116.163,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,949.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17225,MYS,Malaysia,Ranhill Powertron II (IPP),WRI1000261,130.0,6.0918,116.163,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,649.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17226,MYS,Malaysia,Rimba Terjun Solar Power Plant,WRI1026648,2.0,1.4721,103.3925,Solar,,,,,Rentak Raya Sdn Bhd,Cypark Resources Board,http://innogenetic.com/cypark/index.php/2014-07-02-17-02-16/2014-07-02-17-02-52/renewable-energy,WRI,,,,,,,,,,,3.49,3.41,3.46,3.54,3.59,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17227,MYS,Malaysia,SG. Piah Lower,WRI1000235,54.0,4.3945,101.1947,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,CARMA,,,,,,,,,,,150.98,150.98,150.98,166.08,135.92,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17228,MYS,Malaysia,Sandakan Power Corporation(IPP),WRI1000265,34.0,5.8124,118.0642,Oil,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1047114,,,,,,,,,,,,,,16.09,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17229,MYS,Malaysia,Segari,WRI1000243,1303.0,4.3908,100.5894,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1028852,,,,,,,,,,,,,,6511.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17230,MYS,Malaysia,Seguntor Bio Energy (IPP),WRI1000266,12.0,5.8402,118.1179,Biomass,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,CARMA,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
17231,MYS,Malaysia,Sejingkat power station,WRI1000279,210.0,1.6377,110.4654,Coal,,,,2001.0,Sejingkat Power Corp,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1052828,,,,,,,,,,,,,,1497.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17232,MYS,Malaysia,Sepang 5,WKS0062322,5.0,2.715,101.75,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,8.88,8.66,8.81,8.65,9.28,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
17233,MYS,Malaysia,Sepangar Bay Power Corporation (IPP),WRI1000263,100.0,6.0909,116.1667,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1064547,,,,,,,,,,,,,,499.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17234,MYS,Malaysia,Serudong Power,WRI1000275,36.0,4.2826,117.889,Oil,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,17.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17235,MYS,Malaysia,Sultan Aziz power station,WRI1075863,1600.0,3.1172,101.3204,Coal,,,,1996.0,Kapar Energy Ventures Sdn Bhd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,11411.87,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17236,MYS,Malaysia,TG. Kidurong,WRI1000281,192.0,3.288,113.0926,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,,,,,,,,959.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17237,MYS,Malaysia,TNB Prai,WRI1000284,1071.0,5.3744,100.3746,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,1031192,,,,,,,,,,,,,,5351.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17238,MYS,Malaysia,Tanjung Bin power station,WRI1000254,3244.0,1.334,103.5422,Coal,,,,2010.0,Malakoff Bhd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,,,,,,,,,,,,,,,23137.57,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17239,MYS,Malaysia,Tawau Power Station (SESB),WRI1000274,64.0,4.2826,117.888,Oil,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1027722,,,,,,,,,,,,,,30.29,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17240,MYS,Malaysia,Teknologi Tenaga Perlis Consortium,WRI1000228,650.0,6.3404,100.1568,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1025387,,,,,,,,,,,,,,3248.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17241,MYS,Malaysia,Temenggor,WRI1000237,348.0,5.407,101.301,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031210,,,,,,,,,,899.51,902.25,909.06,1042.15,862.07,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17242,MYS,Malaysia,Tenom Pangi,WRI1000273,66.0,5.1333,115.95,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,CARMA,1061303,,,,,,,,,,218.24,199.1,195.41,211.88,209.08,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17243,MYS,Malaysia,Tg. Bin Energy,WRI1000285,2100.0,1.3348,103.5422,Coal,,,,2016.0,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,,,,,,,,,,,,,,,14978.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17244,MYS,Malaysia,Tuanku Jaafar (PDI),WRI1000250,714.0,2.533,101.7912,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031214,,,,,,,,,,,,,,3567.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17245,MYS,Malaysia,Tyanku Jaafar (PDII),WRI1000251,708.0,2.5327,101.791,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,,,,,,,,,,,,,,,3537.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17246,MYS,Malaysia,YTL Paka,WRI1000257,780.0,4.6017,103.4495,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1033688,,,,,,,,,,,,,,3897.67,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
